AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,CODINFOR,UBIGEO,DOMINIO,ESTRATO,PERIODO,P2400A,P2400B,P2400C,P2400D,P2400E,P2400F,P2400G,P2400H,P2400I,P2400J,P2400K,P2400L,P2400M,FACTORA07,NCONGLOME,SUB_CONGLOME
2022,01,005049,003,11,01,01,010701,7,4,2,0,40,360,0,300,0,0,0,0,0,0,0,700,169.049270629883,006719,00
2022,01,005049,009,11,03,03,010701,7,4,2,0,20,800,500,1500,60,0,0,0,0,0,100,2980,145.3486328125,006719,00
2022,01,005049,019,11,02,02,010701,7,4,2,0,14,0,0,0,0,0,0,0,48,0,0,62,140.698654174805,006719,00
2022,01,005049,024,11,01,01,010701,7,4,2,0,29,0,25,250,0,0,0,0,75,0,0,379,120.906196594238,006719,00
2022,01,005049,035,11,03,03,010701,7,4,2,0,0,510,0,120,0,0,0,0,0,0,0,630,434.9609375,006719,00
2022,01,005138,028,11,01,01,010513,4,7,4,0,48,1328,0,200,100,100,80,0,100,0,36,1992,67.9684371948242,007002,00
2022,01,005138,028,11,06,07,010513,4,7,4,0,0,0,0,0,20,0,0,0,0,0,0,20,113.109146118164,007002,00
2022,01,005138,111,11,01,01,010513,4,7,4,0,0,0,0,0,20,0,0,0,0,0,0,20,51.2710914611816,007002,00
2022,01,005138,118,11,01,01,010513,4,7,4,0,0,1000,100,2200,80,2598,0,0,0,0,0,5978,102.113021850586,007002,00
2022,01,005138,119,11,01,04,010513,4,7,4,0,0,0,0,60,0,0,0,0,0,0,10,70,42.7271919250488,007002,00
2022,01,005138,119,11,04,04,010513,4,7,4,0,0,0,0,400,30,0,0,0,0,0,90,520,102.113021850586,007002,00
2022,01,005138,120,11,01,01,010513,4,7,4,0,40,0,0,0,24,80,0,0,0,0,75,219,72.5486068725586,007002,00
2022,01,005138,120,11,03,03,010513,4,7,4,0,0,0,0,0,0,0,0,0,0,0,18,18,113.109146118164,007002,00
2022,01,005138,121,11,01,01,010513,4,7,4,0,20,20,0,0,40,0,0,0,0,0,260,340,60.0085601806641,007002,00
2022,01,005140,026,11,01,01,010514,4,8,3,0,14,0,0,0,0,0,0,0,0,0,0,14,60.0085601806641,007016,00
2022,01,005140,026,11,03,03,010514,4,8,3,0,0,0,0,0,0,0,0,0,0,0,40,40,98.9729766845703,007016,00
2022,01,005140,027,11,02,02,010514,4,8,3,0,7,125,0,0,0,0,0,0,0,0,0,132,52.8802795410156,007016,00
2022,01,005140,028,11,01,01,010514,4,8,3,0,16,0,0,0,0,0,0,0,450,0,20,486,102.113021850586,007016,00
2022,01,005140,088,11,01,01,010514,4,8,3,0,36,0,0,625,0,0,0,0,0,0,200,861,43.3157577514648,007016,00
2022,01,005140,089,11,01,01,010514,4,8,3,0,132,0,0,1600,0,0,0,0,2400,0,300,4432,63.5817031860352,007016,00
2022,01,005140,093,11,01,01,010514,4,8,3,0,7,0,0,120,0,0,0,0,0,0,0,127,51.2710914611816,007016,00
2022,01,005140,094,11,01,01,010514,4,8,3,0,44,0,0,0,0,0,0,0,1830,0,120,1994,72.5486068725586,007016,00
2022,01,005257,084,11,02,02,020101,5,3,1,0,40,200,200,0,0,0,0,0,0,0,0,440,178.794418334961,013318,00
2022,01,005591,065,11,01,01,040413,3,5,4,0,6880,4000,5500,8500,0,350,0,570,0,0,3500,29300,47.1261367797852,041795,00
2022,01,005655,095,11,01,01,040608,6,7,4,0,284,120,0,200,0,0,0,30,0,0,640,1274,54.9724578857422,041691,00
2022,01,005655,096,11,02,02,040608,6,7,4,0,103,0,0,0,0,0,0,48,0,0,0,151,92.3686370849609,041691,00
2022,01,005655,272,11,02,02,040608,6,7,4,1900,253,0,40,0,0,0,0,0,120,0,700,3013,139.385559082031,041691,00
2022,01,005655,273,11,01,01,040608,6,7,4,0,66,0,25,0,0,0,0,60,0,0,0,151,71.9292984008789,041691,00
2022,01,005655,275,11,01,01,040608,6,7,4,0,305,0,0,0,0,0,0,36,600,0,240,1181,163.774276733398,041691,00
2022,01,005655,281,11,02,02,040608,6,7,4,0,860,0,0,0,0,0,0,30,0,0,120,1010,117.19352722168,041691,00
2022,01,005829,064,11,01,01,050602,5,7,4,0,156,0,0,324,10,0,0,12,470,0,0,972,124.337821960449,035823,00
2022,01,005829,066,11,01,01,050602,5,7,4,0,71,0,0,360,12,0,0,10,464,0,0,917,85.6880798339844,035823,00
2022,01,005829,067,11,01,01,050602,5,7,4,100,90,0,0,0,0,0,0,6,200,0,0,396,165.207824707031,035823,00
2022,01,005829,152,11,01,01,050602,5,7,4,0,90,0,0,160,12,0,0,15,335,0,0,612,145.211090087891,035823,00
2022,01,005829,160,11,01,01,050602,5,7,4,0,124,0,0,280,0,0,0,10,348,0,0,762,49.702522277832,035823,00
2022,01,005886,024,11,01,01,060801,7,3,4,0,0,0,0,0,20,0,0,0,0,0,0,20,927.705383300781,004673,00
2022,01,005886,040,11,01,01,060801,7,3,4,0,0,100,0,1500,0,0,0,0,0,0,0,1600,544.161254882813,004673,00
2022,01,005886,059,11,01,01,060801,7,3,4,0,0,0,0,0,5,0,0,0,0,0,0,5,834.102600097656,004673,00
2022,01,005886,104,11,01,01,060801,7,3,4,0,0,0,0,1000,0,0,0,0,450,0,0,1450,202.151184082031,004673,00
2022,01,005886,147,11,01,02,060801,7,3,4,0,0,0,0,0,0,0,0,0,150,0,0,150,927.705383300781,004673,00
2022,01,005893,057,11,01,01,060401,4,5,4,0,36,20,20,0,0,0,0,0,0,0,0,76,479.918243408203,005237,00
2022,01,005944,027,11,01,01,060411,4,7,2,0,250,0,0,0,0,0,0,0,0,0,0,250,284.165374755859,005163,00
2022,01,005944,032,11,02,02,060411,4,7,2,0,160,86,40,300,20,0,0,0,0,0,500,1106,380.600463867188,005163,00
2022,01,005944,135,11,01,01,060411,4,7,2,0,557,0,50,0,0,0,0,0,700,0,0,1307,322.284118652344,005163,00
2022,01,005944,136,11,02,02,060411,4,7,2,0,945,0,0,0,0,0,0,0,2700,0,0,3645,259.171447753906,005163,00
2022,01,005944,137,11,01,02,060411,4,7,2,0,330,0,150,0,0,0,0,0,1088,0,0,1568,243.308181762695,005163,00
2022,01,006011,003,11,01,01,061004,4,6,3,0,115,200,0,0,0,0,0,0,347,0,0,662,322.284118652344,006274,00
2022,01,006011,008,11,01,01,061004,4,6,3,0,82,50,0,0,0,0,0,0,125,0,0,257,245.475677490234,006274,00
2022,01,006011,016,11,01,01,061004,4,6,3,0,66,200,0,0,0,0,0,0,222,0,0,488,245.475677490234,006274,00
2022,01,006011,031,11,01,01,061004,4,6,3,0,12,40,0,0,0,0,0,0,0,0,0,52,216.622039794922,006274,00
2022,01,006011,046,11,01,01,061004,4,6,3,0,85,80,0,0,0,0,0,0,303,0,0,468,269.423248291016,006274,00
2022,01,006011,056,11,01,01,061004,4,6,3,0,17,100,0,0,0,0,0,0,60,0,0,177,238.430297851563,006274,00
2022,01,006011,066,11,01,01,061004,4,6,3,0,44,50,0,0,0,0,0,0,103,0,0,197,380.600463867188,006274,00
2022,01,006230,106,11,01,02,080901,7,4,4,0,0,0,0,0,10,0,0,0,0,0,0,10,11.5305919647217,037008,00
2022,01,006483,003,11,01,01,090306,5,7,3,0,340,205,105,60,0,0,0,0,318,0,0,1028,71.6633834838867,033493,00
2022,01,006483,017,11,01,01,090306,5,7,3,0,208,110,45,30,10,8,0,0,252,0,0,663,71.6633834838867,033493,00
2022,01,006483,025,11,01,02,090306,5,7,3,0,420,220,45,0,0,0,0,0,103,0,0,788,107.169578552246,033493,00
2022,01,006483,027,11,01,01,090306,5,7,3,0,469,195,83,60,0,0,0,0,220,0,0,1027,119.276138305664,033493,00
2022,01,006483,274,11,01,01,090306,5,7,3,0,2,0,0,0,0,0,0,0,0,0,0,2,60.2822875976563,033493,00
2022,01,006483,276,11,01,01,090306,5,7,3,0,277,40,0,0,0,0,0,0,145,0,60,522,75.4091873168945,033493,00
2022,01,006483,297,11,01,01,090306,5,7,3,0,227,100,0,90,12,0,0,0,159,0,0,588,75.3468017578125,033493,00
2022,01,006483,304,11,01,01,090306,5,7,3,0,147,20,0,0,0,0,0,0,135,0,0,302,119.276138305664,033493,00
2022,01,006571,071,11,01,01,100402,5,7,3,0,38,0,0,70,0,0,0,0,60,0,0,168,122.151504516602,014002,00
2022,01,006571,153,11,01,02,100402,5,7,3,0,242,230,58,0,15,50,0,0,111,0,34,740,363.173736572266,014002,00
2022,01,006571,159,11,01,01,100402,5,7,3,0,185,90,0,0,13,0,0,0,150,0,90,528,132.590301513672,014002,00
2022,01,006571,160,11,01,01,100402,5,7,3,0,200,0,0,0,0,0,0,0,203,0,0,403,132.574645996094,014002,00
2022,01,006571,174,11,01,01,100402,5,7,3,0,120,225,0,0,0,0,0,0,198,0,50,593,118.837417602539,014002,00
2022,01,006571,176,11,01,01,100402,5,7,3,0,244,250,15,0,0,0,0,0,380,0,0,889,211.172958374023,014002,00
2022,01,006571,177,11,01,01,100402,5,7,3,0,53,0,25,0,0,20,0,0,114,0,0,212,181.148208618164,014002,00
2022,01,006807,053,11,02,02,110503,2,5,4,0,4750,4100,4500,0,0,150,0,400,0,0,190,14090,145.954498291016,034127,00
