AÑO;MES;CONGLOME;VIVIENDA;HOGAR;CODPERSO;CODINFOR;UBIGEO;DOMINIO;ESTRATO;PERIODO;P2400A;P2400B;P2400C;P2400D;P2400E;P2400F;P2400G;P2400H;P2400I;P2400J;P2400K;P2400L;P2400M;FACTORA07;NCONGLOME;SUB_CONGLOME
2022;1;5049;3;11;1;1;10701;7;4;2;0;40;360;0;300;0;0;0;0;0;0;0;700;169.0492706;6719;0
2022;1;5049;9;11;3;3;10701;7;4;2;0;20;800;500;1500;60;0;0;0;0;0;100;2980;145.3486328;6719;0
2022;1;5049;19;11;2;2;10701;7;4;2;0;14;0;0;0;0;0;0;0;48;0;0;62;140.6986542;6719;0
2022;1;5049;24;11;1;1;10701;7;4;2;0;29;0;25;250;0;0;0;0;75;0;0;379;120.9061966;6719;0
2022;1;5049;35;11;3;3;10701;7;4;2;0;0;510;0;120;0;0;0;0;0;0;0;630;434.9609375;6719;0
2022;1;5138;28;11;1;1;10513;4;7;4;0;48;1328;0;200;100;100;80;0;100;0;36;1992;67.96843719;7002;0
2022;1;5138;28;11;6;7;10513;4;7;4;0;0;0;0;0;20;0;0;0;0;0;0;20;113.1091461;7002;0
2022;1;5138;111;11;1;1;10513;4;7;4;0;0;0;0;0;20;0;0;0;0;0;0;20;51.27109146;7002;0
2022;1;5138;118;11;1;1;10513;4;7;4;0;0;1000;100;2200;80;2598;0;0;0;0;0;5978;102.1130219;7002;0
2022;1;5138;119;11;1;4;10513;4;7;4;0;0;0;0;60;0;0;0;0;0;0;10;70;42.72719193;7002;0
2022;1;5138;119;11;4;4;10513;4;7;4;0;0;0;0;400;30;0;0;0;0;0;90;520;102.1130219;7002;0
2022;1;5138;120;11;1;1;10513;4;7;4;0;40;0;0;0;24;80;0;0;0;0;75;219;72.54860687;7002;0
2022;1;5138;120;11;3;3;10513;4;7;4;0;0;0;0;0;0;0;0;0;0;0;18;18;113.1091461;7002;0
2022;1;5138;121;11;1;1;10513;4;7;4;0;20;20;0;0;40;0;0;0;0;0;260;340;60.00856018;7002;0
2022;1;5140;26;11;1;1;10514;4;8;3;0;14;0;0;0;0;0;0;0;0;0;0;14;60.00856018;7016;0
2022;1;5140;26;11;3;3;10514;4;8;3;0;0;0;0;0;0;0;0;0;0;0;40;40;98.97297668;7016;0
2022;1;5140;27;11;2;2;10514;4;8;3;0;7;125;0;0;0;0;0;0;0;0;0;132;52.88027954;7016;0
2022;1;5140;28;11;1;1;10514;4;8;3;0;16;0;0;0;0;0;0;0;450;0;20;486;102.1130219;7016;0
